test_donor,seed,variant,n_test,n_known_test,n_unknown_test,accuracy,weighted_f1,macro_f1,balanced_accuracy
P7,42,fusion_branch,25871,25871,0,0.9183255382474586,0.9170395228441665,0.8250755305621973,0.8091922271332634
P7,42,uniform_fusion,25871,25871,0,0.9200262842565035,0.9187537688403279,0.8254738277491346,0.808125424614629
P7,42,margin_gate,25871,25871,0,0.9179390050635847,0.9166117188004291,0.8202957218507912,0.8029691434517449
P7,42,margin_gate_hsr,25871,25871,0,0.9183255382474586,0.9169906927708672,0.8209738132660545,0.8031782185573458
P7,43,rna_branch,25871,25871,0,0.8958293069460013,0.8971887987809298,0.7625948003187318,0.7771393110895161
P7,43,adt_branch,25871,25871,0,0.8376947160913765,0.8340831366006705,0.674915181742157,0.6782293632577413
P7,43,fusion_branch,25871,25871,0,0.9148080862742066,0.914612888410309,0.8220394838951501,0.8355013966348178
P7,43,uniform_fusion,25871,25871,0,0.9180549650187468,0.9174644507254563,0.8283432195992855,0.8338016770322342
P7,43,margin_gate,25871,25871,0,0.9168180588303506,0.916241535224136,0.8243366237198666,0.8293738014051836
P7,43,margin_gate_hsr,25871,25871,0,0.9171659386958371,0.9166069353929319,0.8246446260673931,0.8292368348056823
P8,41,rna_branch,26250,26250,0,0.8787809523809523,0.8769394400710061,0.7639610046916336,0.7710919512556363
P8,41,adt_branch,26250,26250,0,0.8488761904761905,0.847957429571232,0.7047368704108681,0.7056715178188149
P8,41,fusion_branch,26250,26250,0,0.9054095238095238,0.9040298909425474,0.8139724324925032,0.8118570322151255
P8,41,uniform_fusion,26250,26250,0,0.9093333333333333,0.9080517078906507,0.8189938502602206,0.8129106804448699
P8,41,margin_gate,26250,26250,0,0.9079619047619047,0.9067503674099174,0.8167139097232138,0.810872847519042
P8,41,margin_gate_hsr,26250,26250,0,0.907847619047619,0.9066621280997111,0.8177673598433657,0.8111836626173589
P8,42,rna_branch,26250,26250,0,0.8872380952380953,0.8855127493052387,0.778314345496353,0.771793878777405
P8,42,adt_branch,26250,26250,0,0.8471238095238095,0.846068314119823,0.696778480102842,0.686225350390752
P8,42,fusion_branch,26250,26250,0,0.9102095238095238,0.9089250322444773,0.8161034186772984,0.8065046574819396
P8,42,uniform_fusion,26250,26250,0,0.9107809523809524,0.9093710575540133,0.8261407345252313,0.8105819784400444
P8,42,margin_gate,26250,26250,0,0.9110095238095238,0.9096783507939815,0.8269610658199595,0.8102256869788886
P8,42,margin_gate_hsr,26250,26250,0,0.9109333333333334,0.9096109123353319,0.8266737968776542,0.8099305750325068
P8,43,rna_branch,26250,26250,0,0.883352380952381,0.8800817209204765,0.783125711653849,0.7779190043849376
P8,43,adt_branch,26250,26250,0,0.8308952380952381,0.8333153063844676,0.6870299661107669,0.6847212175820775
P8,43,fusion_branch,26250,26250,0,0.9072761904761905,0.9058410913328381,0.817054347138493,0.8067242783640133
P8,43,uniform_fusion,26250,26250,0,0.9093714285714286,0.9079268858669569,0.8199806014518557,0.809282877904305
P8,43,margin_gate,26250,26250,0,0.9087238095238095,0.9073234365176915,0.8173972235971748,0.8073085969881781
P8,43,margin_gate_hsr,26250,26250,0,0.9087619047619048,0.9073561379482886,0.8176463109081971,0.8074194576898771
